Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
IVP FROZEN CO TREATED GGS CARIBBEAN YELLOWTAIL SNAPPER 3/4-1 LB 10LB BOX,CYT3106100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IVP FROZEN WG CARIBBEAN YELLOWTAIL SNAPPER 3/4-1 LB 10LB BOX,CYT3112100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL SNAPPER 3/4-1 LB 10LB BOX,CYT3132100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1.5-2.0 LB 30LB BOX,CYT5201300,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,30,30,,,,,,,,
FRESH CARIBBEAN YELLOWTAIL SNAPPER 1.5-2.0 LB 80LB BOX,CYT5201800,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,80,80,,,,,,,,
IVP FROZEN CO TREATED GGS CARIBBEAN YELLOWTAIL SNAPPER 1/2-1 LB 10LB BOX,CYT1106100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IVP FROZEN CO TREATED GGS CARIBBEAN YELLOWTAIL SNAPPER 1.5-2.0 LB 20LB BOX,CYT5206200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,20,,,,,,,,
IVP FROZEN GGS CARIBBEAN YELLOWTAIL SNAPPER 1.5-2.0 LB 20LB BOX,CYT5232200,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,20,20,,,,,,,,
IVP FROZEN CO TREATED SKIN ON FILLETS CARIBBEAN YELLOWTAIL SNAPPER 6-8 OZ 10LB BOX,CYT6807100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
IVP FROZEN CO TREATED SKIN ON FILLETS CARIBBEAN YELLOWTAIL SNAPPER 8-10 OZ 10LB BOX,CYT8107100,code128,,PE16,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,PE16,,,10,11.36,,,,,,,,
P&D FARM RAISED  WHITE SHRIMP U15 4LB BLOCK,FWH1520043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 16-20 4LB BLOCK IMPERIAL,FWH1618043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 21-25 4LB BLOCK IMPERIAL,FWH2218043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 26-30 4LB BLOCK IMPERIAL,FWH2318043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,1,1,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 31-35 4LB BLOCK IMPERIAL,FWH3318043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,1,1,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 36-40 4LB BLOCK,FWH3418043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,6.67,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 41-50 4LB BLOCK,FWH4518043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,6.67,,,,,,,,
P&D FARM RAISED  WHITE SHRIMP 41-50 4LB BLOCK,FWH4520043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,6.67,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 51-60 4LB BLOCK IMPERIAL,FWH5618043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 61-70 4LB BLOCK IMPERIAL,FWH6718043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,6.67,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 71-90 4LB BLOCK,FWH7918043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,6.67,,,,,,,,
P&D FARM RAISED  WHITE SHRIMP 71-90 4LB BLOCK IMPERIAL,FWH7920043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,4,4,,,,,,,,
HLSO FARM RAISED  WHITE SHRIMP 91-110 4LB BLOCK IMPERIAL,FWH9118043,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,1,1,,,,,,,,
PUD WHITE SHRIMP TITI 300-500 5LB BLOCK,OTT3525050,code128,,CM05,LB,LB,LB,0,0,0,SIN IVA,inclusive,no_image.png,CM3,,,5,5,,,,,,,,
